,Dimension 1,Dimension 2,Formula,material_id,Ïƒ(RT)(S cm-1),Conductor?
5,24.964655,-7.887603,Li3N,mp-2341,,Unknown
12,24.065096,-10.606493,Li3ClO,mp-985585,0.00085,Yes
18,24.509417,-8.4019,Li2CN2,mp-9610,,Unknown
20,23.891123,-6.6534586,Li2PdO2,mp-7608,,Unknown
48,24.543882,-9.4745455,Li3H3N2,mp-977164,,Unknown
49,25.399204,-11.750598,LiCoS2,mp-753946,,Unknown
57,24.64164,-11.53617,LiBH4,mp-644223,,Unknown
61,28.587194,-9.177866,LiBeSb,mp-9575,,Unknown
70,23.15586,-8.094121,LiC,mp-1378,,Unknown
76,23.286158,-8.915476,Li3P,mp-736,0.000703,Yes
94,25.766758,-12.61406,BaLiAs,mp-10616,,Unknown
115,25.819221,-6.663633,LiNbO2,mp-3924,,Unknown
130,21.459274,-9.528697,LiHF2,mp-24199,,Unknown
147,21.080317,-10.69745,Li3As,mp-757,,Unknown
156,23.4444,-11.437669,LiBeAs,mp-9562,,Unknown
182,29.829105,-8.93637,LiZnP,mp-10182,,Unknown
219,27.408852,-12.9487095,LiBr,mp-976280,,Unknown
224,23.925165,-7.8775067,Li2O2,mp-841,,Unknown
250,20.228945,-8.509819,LiNbS2,mp-7936,,Unknown
306,23.689463,-6.5588036,LiHO,mp-625998,,Unknown
355,24.644579,-10.1151905,Li2CeN2,mp-8181,,Unknown
364,24.008133,-11.164456,BaLiF3,mp-10250,,Unknown
389,21.869663,-11.471073,KLiS,mp-8430,,Unknown
398,22.823147,-12.574937,Li2AgF3,mp-754466,,Unknown
402,21.547174,-13.602249,LiAgF2,mp-752927,,Unknown
439,24.1554,-9.299749,LiBeP,mp-9915,,Unknown
454,25.823454,-10.858885,Li3BrO,mp-28593,1.1e-06,Yes
469,24.459307,-12.932477,BaLiP,mp-10615,,Unknown
495,25.31446,-9.1790905,Li2ZrN2,mp-3216,,Unknown
517,26.649162,-9.094757,LiH,mp-23703,,Unknown
528,25.93259,-9.691191,LiBC,mp-9244,,Unknown
546,25.12907,-11.368605,LiCrS2,mp-4226,,Unknown
564,26.293577,-11.57995,BaLiH3,mp-23818,,Unknown
598,22.198479,-9.591389,Li2ZrF6,mp-4002,,Unknown
615,22.395422,-14.238488,RbLiS,mp-8751,,Unknown
625,25.022707,-5.3943663,LiSiBO4,mp-8874,,Unknown
669,23.423752,-13.706798,LiCuS,mp-774712,,Unknown
673,25.087503,-9.963335,LiHO,mp-23856,,Unknown
706,27.317705,-10.691579,Li3LaP2,mp-8407,,Unknown
721,22.953873,-10.314582,LiN3,mp-2659,,Unknown
732,21.027657,-12.451686,LiAgF2,mp-752767,,Unknown
745,21.052794,-12.487938,LiAgF2,mp-752549,,Unknown
762,25.106846,-10.389946,Li3N,mp-2251,0.0003,Yes
779,28.13636,-11.216411,SrLiP,mp-13276,,Unknown
780,25.77035,-13.7165575,BaLiP,mp-13277,,Unknown
786,22.762093,-10.923608,NaLiS,mp-8452,,Unknown
793,23.579674,-12.59561,Li2CeP2,mp-9912,,Unknown
856,22.239428,-7.6209393,LiF,mp-1138,,Unknown
862,24.602028,-14.675485,LiZnSb,mp-9919,,Unknown
